numero_departement;nom_commune;latitude;longitude
4;Aiglun;44,066667;6,133333
4;Allemagne-en-Provence;43,783333;6,016667
4;Allons;43,966667;6,6
4;Allos;44,233333;6,633333
4;Angles;43,933333;6,566667
4;Annot;43,966667;6,666667
4;Archail;44,116667;6,333333
4;Aubignosc;44,133333;5,966667
4;Barras;44,1;6,116667
4;Barreme;43,95;6,366667
4;Beaujeu;44,2;6,366667
4;Beauvezer;44,15;6,6
4;Beynes;43,983333;6,233333
4;Blieux;43,866667;6,366667
4;Bras-d'Asse;43,916667;6,116667
4;Braux;43,983333;6,683333
4;Brunet;43,9;6,033333
4;Castellane;43,85;6,516667
4;Castellet-les-Sausses;43,983333;6,766667
4;Champtercier;44,1;6,166667
4;Chateau-Arnoux-Saint-Auban;44,09;6,01
4;Chateauneuf-Val-Saint-Donat;44,1;5,95
4;Chateauredon;44,016667;6,216667
4;Chaudon-Norante;43,983333;6,35
4;Clumanc;44,033333;6,416667
4;Colmars;44,183333;6,633333
4;Demandolx;43,866667;6,583333
4;Digne-les-Bains;44,09;6,24
4;Draix;44,133333;6,35
4;Entrages;44,05;6,266667
4;Entrevaux;43,95;6,816667
4;Entrevennes;43,933333;6,033333
4;Esparron-de-Verdon;43,733333;5,983333
4;Estoublon;43,933333;6,166667
4;Ganagobie;44;5,916667
4;Greoux-les-Bains;43,75;5,883333
4;Hautes-Duyes;;
4;La Brillanne;43,916667;5,883333
4;La Garde;43,833333;6,55
4;La Javie;44,166667;6,35
4;Lambruisse;44,05;6,433333
4;La Mure-Argens;;
4;La Palud-sur-Verdon;;
4;La Robine-sur-Galabre;;
4;La Rochette;;
4;Le Brusquet;44,15;6,3
4;Le Castellard-Melan;44,183333;6,133333
4;Le Castellet;43,933333;5,983333
4;Le Chaffaut-Saint-Jurson;;
4;Le Fugeret;44;6,633333
4;L'Escale;44,083333;6,033333
4;Les Mees;44,033333;5,983333
4;Lurs;43,966667;5,883333
4;Majastres;43,916667;6,3
4;Malijai;44,05;6,033333
4;Mallemoisson;44,05;6,133333
4;Marcoux;44,133333;6,283333
4;Meailles;44,033333;6,633333
4;Mezel;43,983333;6,2
4;Mirabeau;44,066667;6,083333
4;Montagnac-Montpezat;;
4;Montfort;44,066667;5,966667
4;Moriez;43,95;6,466667
4;Moustiers-Sainte-Marie;43,85;6,216667
4;Oraison;43,916667;5,916667
4;Peipin;44,133333;5,95
4;Peyroules;43,816667;6,633333
4;Peyruis;44,033333;5,933333
4;Prads-Haute-Bleone;;
4;Puimichel;43,966667;6,016667
4;Puimoisson;43,866667;6,133333
4;Quinson;43,7;6,033333
4;Riez;43,816667;6,1
4;Rougon;43,8;6,4
4;Roumoules;43,833333;6,133333
4;Saint-Andre-les-Alpes;43,966667;6,5
4;Saint-Benoit;43,966667;6,733333
4;Sainte-Croix-du-Verdon;;
4;Saint-Jacques;43,966667;6,416667
4;Saint-Jeannet;43,95;6,116667
4;Saint-Julien-d'Asse;43,916667;6,1
4;Saint-Julien-du-Verdon;43,916667;6,533333
4;Saint-Jurs;43,9;6,2
4;Saint-Laurent-du-Verdon;43,716667;6,066667
4;Saint-Lions;43,983333;6,4
4;Saint-Martin-de-Bromes;43,766667;5,95
4;Saint-Pierre;;
4;Salignac;44,166667;5,983333
4;Sausses;44,016667;6,783333
4;Senez;43,916667;6,4
4;Soleilhas;43,85;6,65
4;Sourribes;44,15;6,016667
4;Tartonne;44,066667;6,383333
4;Thoard;44,15;6,15
4;Thorame-Basse;44,083333;6,5
4;Thorame-Haute;44,1;6,55
4;Ubraye;43,9;6,7
4;Val-de-Chalvagne;;
4;Valensole;43,833333;5,983333
4;Vergons;43,916667;6,583333
4;Villars-Colmars;44,166667;6,6
4;Volonne;44,116667;6,016667
