nom;description;categorie;adresse;code_postal;commune;longitude;latitude
Valcros;Golf de Valcros;Golf;Avenue Vallee Heureuse;83250;La Londe-les-Maures;6,233333;43,133333
Valgarde;Golf de Valgarde;Golf;Chemin de Rabasson;83130;La Garde;0;0
Fregate;Golf de Dolce Fregate Provencea Saint Cyr sur mer;Golf;Lieu dit Fregate, RD 559;83270;Saint-Cyr-sur-Mer;5,716667;43,183333
Allauch;Golf d'Allauch Marseille;Golf;Route des 4 Saisons;13190;Allauch;5,483333;43,333333
Saint-Baume;Golf de la Sainte-Baume;Golf;2664 Route de Brignoles;83860;Nans-les-Pins;5,783333;43,366667
Molly Bloom;Bar Place d'arme;Bar;18 Rue Anatole France;83000;Toulon;5,933333;43,116667
Corsair PUB;Corsair, rubgy;Bar;15 Rue Marquetas;83000;Toulon;5,933333;43,116667
Guillaume Tell;Bar Guillaume Tell;Bar;9 Avenue Gambetta;83400;Hyeres;6,116667;43,116667
ISEN;Ecole sup en info elec;Ecole;Maison du Numerique et de l'Innovation, Place Georges Pompidou;83000;Toulon;5,933333;43,116667
Jean Aicard;Lycee Polyvalent Regional Jean Aicard;Ecole;4 Rue Gallieni;83400;Hyeres;6,116667;43,116667
Ecole info sup;ecole superieure d'informatique de la Mediterranee;Ecole;22 Rue John Maynard Keynes;13013;Marseille;0;0
Carrefour mayol;Carrefour mayol;Supermarche;rue Du Murier, Centre Mayol;83000;Toulon;5,933333;43,116667
Carrefour Grand Var;Carrefour Grand Var;Supermarche;avenue De L'Universite, Centre Commercial Grand Var;83160;La Valette-du-Var;5,983333;43,133333
Leader Price;Leader Price;Supermarche;Place Vicomtesse Marie Louise de Noailles;83400;Hyeres;6,116667;43,116667
Cinema Pathe La Valette;Cinema Pathe La Valette;Loisir;Centre commercial Avenue 83, 300 Avenue de l'universite;83160;La Valette-du-Var;5,983333;43,133333
Cinema Pathe Liberte;Cinema Pathe Liberte;Loisir;265 Boulevard Marechal Leclerc;83000;Toulon;5,933333;43,116667
PaintBall;PaintBall Family Toulon;Loisir;1500 Chemin du Camp Laurent;83190;Ollioules;5,85;43,133333
Plage de Saint-Clair;Plage de Saint-Clair;Loisir;10-110 Avenue Van Rysselberghe;83980;Le Lavandou;6,366667;43,133333
Credit Mutuel;Credit Mutuel;Banque;66 Boulevard de Strasbourg;83000;Toulon;5,933333;43,116667
Banque de France;Banque de France;Banque;122 Avenue Vauban;83000;Toulon;5,933333;43,116667
Societe Generale;Societe Generale;Banque;14 Place d'Armes;83000;Toulon;5,933333;43,116667
